REGISTRATION_DATE,START_DATE,END_DATE,VERSION_EN,AREA_EN,CONTRACT_AMOUNT,ANNUAL_AMOUNT,IS_FREE_HOLD_EN,ACTUAL_AREA,PROP_TYPE_EN,PROP_SUB_TYPE_EN,ROOMS,USAGE_EN,NEAREST_METRO_EN,NEAREST_MALL_EN,NEAREST_LANDMARK_EN,PARKING,TOTAL_PROPERTIES,MASTER_PROJECT_EN,PROJECT_EN
"2026-06-30 04:11:20","2026-07-15 00:00:00","2027-07-14 00:00:00","New","Business Bay","60000","60000","Free Hold","72.97","Unit","Flat","","Residential","Business Bay Metro Station","Dubai Mall","Downtown Dubai","","1","","THE COSMOPOLITAN"
"2026-06-30 04:12:54","2026-07-01 00:00:00","2027-06-30 00:00:00","New","Al Karama","63000","63000","Non Free Hold","10","Unit","Flat","","Residential","ADCB Metro Station","Dubai Mall","Burj Khalifa","","1","",""
"2026-06-30 05:25:58","2026-06-28 00:00:00","2027-07-09 00:00:00","New","Al Barshaa South Third","70000","67741.94","Free Hold","87","Unit","Flat","","Residential","Sharaf Dg Metro Station","Mall of the Emirates","Motor City","","1","","Joya Blanca Residences "
"2026-06-30 05:44:11","2026-06-30 00:00:00","2027-06-29 00:00:00","New","Wadi Al Safa 5","150000","150000","Free Hold","144","Villa","Villa","3","Residential","","","","","1","","Arabian Ranches lll - Raya"
"2026-06-30 05:57:56","2026-06-11 00:00:00","2027-07-17 00:00:00","New","Dubai Investment Park Second","321360","296640","Free Hold","458","Unit","Warehouse","","Industrial","","","Expo 2020 Site","","1","",""
"2026-06-30 06:05:26","2026-02-21 00:00:00","2027-02-20 00:00:00","New","Dubai Investment Park Second","20563.2","20563.2","Free Hold","15.33","Unit","Labor Camps","","Residential","","","Expo 2020 Site","","1","",""
"2026-06-30 06:08:39","2026-03-06 00:00:00","2027-03-05 00:00:00","New","Dubai Investment Park Second","36720","36720","Free Hold","11.99","Unit","Labor Camps","","Residential","","","Expo 2020 Site","","2","",""
"2026-06-30 06:08:39","2026-03-06 00:00:00","2027-03-05 00:00:00","New","Dubai Investment Park Second","36720","36720","Free Hold","11.99","Unit","Labor Camps","","Residential","","","Expo 2020 Site","","2","",""
"2026-06-30 06:12:39","2026-04-01 00:00:00","2026-10-13 00:00:00","New","Dubai Investment Park Second","18929","35384.86","Free Hold","14.86","Unit","Labor Camps","","Residential","","","Expo 2020 Site","","2","",""
"2026-06-30 06:12:39","2026-04-01 00:00:00","2026-10-13 00:00:00","New","Dubai Investment Park Second","18929","35384.86","Free Hold","14.86","Unit","Labor Camps","","Residential","","","Expo 2020 Site","","2","",""
"2026-06-30 06:17:09","2026-07-01 00:00:00","2027-06-30 00:00:00","Renewed","Jabal Ali First","65000","65000","Free Hold","90","Unit","Flat","","Residential","Harbour Tower","Ibn-e-Battuta Mall","Sports City Swimming Academy","","1","",""
"2026-06-30 06:23:16","2026-04-30 00:00:00","2027-04-29 00:00:00","Renewed","Dubai Investment Park First","13230","13230","Free Hold","25.44","Unit","Flat","","Residential","UAE Exchange Metro Station","Ibn-e-Battuta Mall","Expo 2020 Site","","1","",""
"2026-06-30 06:24:38","2026-07-01 00:00:00","2027-06-30 00:00:00","New","Al Yelayiss 2","87000","87000","Free Hold","88","Unit","Flat","","Residential","","","Dubai Cycling Course","","1","","ASCOT RESIDENCES"
"2026-06-30 06:26:30","2026-05-17 00:00:00","2027-05-16 00:00:00","Renewed","Dubai Investment Park First","192000","192000","Free Hold","277.5","Unit","Shop","","Commercial","Ibn Battuta Metro Station","Ibn-e-Battuta Mall","Expo 2020 Site","","1","",""
"2026-06-30 06:37:31","2026-06-07 00:00:00","2027-06-06 00:00:00","Renewed","Dubai Investment Park First","37000","37000","Free Hold","24.62","Unit","Office","","Commercial","ENERGY Metro Station","Ibn-e-Battuta Mall","Expo 2020 Site","","1","",""
"2026-06-30 06:42:21","2026-07-01 00:00:00","2027-06-30 00:00:00","Renewed","Dubai Investment Park Second","399000","399000","Free Hold","534.3","Unit","Warehouse","","Commercial","UAE Exchange Metro Station","","Expo 2020 Site","","1","",""
"2026-06-30 06:46:24","2026-02-27 00:00:00","2026-09-19 00:00:00","Renewed","Dubai Investment Park Second","29698","52607.89","Free Hold","14.86","Unit","Labor Camps","","Residential","","","Expo 2020 Site","","3","",""
"2026-06-30 06:46:24","2026-02-27 00:00:00","2026-09-19 00:00:00","Renewed","Dubai Investment Park Second","29698","52607.89","Free Hold","14.86","Unit","Labor Camps","","Residential","","","Expo 2020 Site","","3","",""
"2026-06-30 06:46:24","2026-02-27 00:00:00","2026-09-19 00:00:00","Renewed","Dubai Investment Park Second","29698","52607.89","Free Hold","14.86","Unit","Labor Camps","","Residential","","","Expo 2020 Site","","3","",""
"2026-06-30 07:01:12","2026-07-15 00:00:00","2027-07-14 00:00:00","Renewed","Al Hebiah Fourth","60000","60000","Free Hold","77","Unit","Flat","","Residential","Nakheel Metro Station","Marina Mall","Sports City Swimming Academy","","1","","PROFILE RESIDENCE"
"2026-06-30 07:10:24","2026-07-01 00:00:00","2027-06-30 00:00:00","New","Marsa Dubai","82500","82500","Free Hold","78","Unit","Flat","","Residential","Jumeirah Lakes Towers","Marina Mall","Burj Al Arab","","1","","Residences Du Port, Dubai Marina, Autograph Collection Residences"
"2026-06-30 07:17:04","2026-07-01 00:00:00","2027-06-30 00:00:00","New","Al Hebiah First","117500","117500","Free Hold","124","Unit","Flat","","Residential","Sharaf Dg Metro Station","Mall of the Emirates","Motor City","","1","",""
"2026-06-30 07:19:50","2026-06-15 00:00:00","2027-07-14 00:00:00","New","Dubai Investment Park First","75000","75000","Free Hold","55.53","Unit","Office","","Commercial","DANUBE Metro Station","Ibn-e-Battuta Mall","Expo 2020 Site","","1","",""
"2026-06-30 07:25:17","2026-07-31 00:00:00","2027-07-30 00:00:00","Renewed","Al Baraha","38000","38000","Non Free Hold","48.77","Unit","Flat","","Residential","Salah Al Din Metro Station","Dubai Mall","Dubai International Airport","","1","",""
"2026-06-30 07:25:26","2026-05-01 00:00:00","2027-04-30 00:00:00","Renewed","Dubai Investment Park First","55000","55000","Free Hold","73.58","Unit","Office","","Commercial","DANUBE Metro Station","Ibn-e-Battuta Mall","Expo 2020 Site","","1","","SCHON BUSINESS PARK"
"2026-06-30 07:29:15","2026-07-01 00:00:00","2027-06-30 00:00:00","Renewed","Muhaisanah Fourth","52500","52500","Non Free Hold","128.38","Unit","Flat","","Residential","Al Qusais Metro Station","City Centre Mirdif","Dubai International Airport","","1","",""
"2026-06-30 07:35:21","2026-06-30 00:00:00","2027-06-29 00:00:00","Renewed","Me'Aisem First","33000","33000","Free Hold","34","Unit","Flat","","Residential","Damac Properties","Marina Mall","Sports City Swimming Academy","","1","","LAKESIDE"
"2026-06-30 07:38:51","2026-06-15 00:00:00","2027-06-14 00:00:00","Renewed","Port Saeed","160579","160579","Non Free Hold","142.14","Unit","Office","","Commercial","Deira City Centre","Dubai Mall","Dubai International Airport","","1","",""
"2026-06-30 07:39:55","2026-07-15 00:00:00","2027-07-14 00:00:00","Renewed","Muhaisanah Fourth","70000","70000","Non Free Hold","151.48","Unit","Flat","","Residential","Al Qusais Metro Station","City Centre Mirdif","Dubai International Airport","","1","",""
"2026-06-30 07:41:37","2026-06-15 00:00:00","2027-06-14 00:00:00","Renewed","Madinat Dubai Almelaheyah","192351.39","192351.39","Free Hold","442","Unit","Workshop","","Industrial","","","","","1","",""
"2026-06-30 07:42:04","2026-08-01 00:00:00","2027-07-31 00:00:00","Renewed","Al Barsha South Fourth","160000","160000","Free Hold","296","Villa","Villa","3","Residential","Nakheel Metro Station","Marina Mall","Sports City Swimming Academy","","1","",""
"2026-06-30 07:43:43","2026-03-05 00:00:00","2027-03-04 00:00:00","New","Dubai Investment Park Second","198000","198000","Free Hold","15.84","Unit","Labor Camps","","Residential","","","Expo 2020 Site","","5","",""
"2026-06-30 07:43:43","2026-03-05 00:00:00","2027-03-04 00:00:00","New","Dubai Investment Park Second","198000","198000","Free Hold","15.84","Unit","Labor Camps","","Residential","","","Expo 2020 Site","","5","",""
"2026-06-30 07:43:43","2026-03-05 00:00:00","2027-03-04 00:00:00","New","Dubai Investment Park Second","198000","198000","Free Hold","15.84","Unit","Labor Camps","","Residential","","","Expo 2020 Site","","5","",""
"2026-06-30 07:43:43","2026-03-05 00:00:00","2027-03-04 00:00:00","New","Dubai Investment Park Second","198000","198000","Free Hold","15.84","Unit","Labor Camps","","Residential","","","Expo 2020 Site","","5","",""
"2026-06-30 07:43:43","2026-03-05 00:00:00","2027-03-04 00:00:00","New","Dubai Investment Park Second","198000","198000","Free Hold","15.84","Unit","Labor Camps","","Residential","","","Expo 2020 Site","","5","",""
"2026-06-30 07:44:26","2026-06-01 00:00:00","2027-05-31 00:00:00","Renewed","Dubai Investment Park First","57456","57456","Free Hold","53.52","Unit","Office","","Commercial","Ibn Battuta Metro Station","Ibn-e-Battuta Mall","Expo 2020 Site","","1","",""
"2026-06-30 07:45:53","2026-05-15 00:00:00","2027-05-14 00:00:00","Renewed","Al Rega","120000","120000","Non Free Hold","140","Unit","Flat","","Residential","Baniyas Square Metro Station","Dubai Mall","Dubai International Airport","","1","",""
"2026-06-30 07:47:43","2026-05-15 00:00:00","2027-05-14 00:00:00","Renewed","Al Bada","128740","128740","Non Free Hold","73","Unit","Shop","","Commercial","","","","","1","",""
"2026-06-30 07:48:08","2026-07-05 00:00:00","2027-07-05 00:00:00","New","Palm Jumeirah","300000","299195.71","Free Hold","162","Unit","Flat","","Residential","Palm Jumeirah","Marina Mall","Burj Al Arab","","1","","VICEROY HOTEL RESORTS RESIDENCES"
"2026-06-30 07:48:34","2026-06-25 00:00:00","2027-06-24 00:00:00","Renewed","Hor Al Anz","48400","48400","Non Free Hold","89","Unit","Flat","","Residential","Abu Baker Al Siddique Metro Station","City Centre Mirdif","Dubai International Airport","","1","",""
"2026-06-30 07:51:37","2026-02-01 00:00:00","2027-01-31 00:00:00","Renewed","Madinat Dubai Almelaheyah","192351.39","192351.39","Free Hold","442","Unit","Workshop","","Commercial","","","","","1","",""
"2026-06-30 07:52:13","2026-06-01 00:00:00","2027-05-31 00:00:00","Renewed","Al Thanyah Fifth","225000","225000","Free Hold","251","Unit","Flat","","Residential","Jumeirah Lakes Towers","Marina Mall","Sports City Swimming Academy","","1","","JUMEIRAH HEIGHTS CLUSTERS"
"2026-06-30 07:52:13","2026-06-01 00:00:00","2027-05-31 00:00:00","Renewed","Al Thanyah Fifth","225000","225000","Free Hold","251","Unit","Flat","","Residential","Jumeirah Lakes Towers","Marina Mall","Sports City Swimming Academy","","1","","JUMEIRAH HEIGHTS CLUSTERS"
"2026-06-30 07:52:13","2026-06-01 00:00:00","2027-05-31 00:00:00","Renewed","Al Thanyah Fifth","225000","225000","Free Hold","251","Unit","Flat","","Residential","Jumeirah Lakes Towers","Marina Mall","Sports City Swimming Academy","","1","","JUMEIRAH HEIGHTS CLUSTERS"
"2026-06-30 07:52:32","2026-06-30 00:00:00","2027-06-29 00:00:00","New","Muhaisanah Fourth","24000","24000","Non Free Hold","73","Unit","Flat","","Residential","Al Qusais Metro Station","City Centre Mirdif","Dubai International Airport","","1","",""
"2026-06-30 07:58:16","2026-07-01 00:00:00","2027-06-30 00:00:00","Renewed","Al Thanayah Fourth","155000","155000","Free Hold","318","Villa","Villa","3","Residential","Nakheel Metro Station","Marina Mall","Sports City Swimming Academy","","1","","Emirates Living - Springs 8"
"2026-06-30 07:59:05","2026-05-15 00:00:00","2027-07-14 00:00:00","Renewed","Al Rega","140000","140000","Non Free Hold","170","Unit","Flat","","Residential","Baniyas Square Metro Station","Dubai Mall","Dubai International Airport","","1","",""
"2026-06-30 08:01:27","2026-07-01 00:00:00","2027-06-30 00:00:00","New","Marsa Dubai","100000","100000","Free Hold","120","Unit","Flat","","Residential","Jumeirah Beach Residency","Marina Mall","Burj Al Arab","","1","",""
"2026-06-30 08:02:19","2026-07-02 00:00:00","2027-07-01 00:00:00","Renewed","Al Thanayah Fourth","380000","380000","Free Hold","540","Villa","Villa","4","Residential","Marina Mall Metro Station","Marina Mall","Sports City Swimming Academy","","1","",""
"2026-06-30 08:03:25","2026-07-08 00:00:00","2027-07-07 00:00:00","Renewed","AL QUSAIS","47355","47355","Non Free Hold","72.12","Unit","Flat","","Residential","STADIUM Metro Station","City Centre Mirdif","Dubai International Airport","","1","",""
"2026-06-30 08:03:38","2026-03-01 00:00:00","2027-02-28 00:00:00","Renewed","Naif","16200","16200","Non Free Hold","20","Unit","Office","","Commercial","Baniyas Square Metro Station","Dubai Mall","Dubai International Airport","","1","",""
"2026-06-30 08:08:02","2026-06-26 00:00:00","2027-06-25 00:00:00","Renewed","Naif","44100","44100","Non Free Hold","66.02","Unit","Flat","","Residential","Baniyas Square Metro Station","Dubai Mall","Dubai International Airport","","1","",""
"2026-06-30 08:08:50","2026-08-07 00:00:00","2027-02-06 00:00:00","Renewed","Al Barsha First","67500","135000","Non Free Hold","187.07","Unit","Flat","","Residential","Sharaf Dg Metro Station","Mall of the Emirates","Burj Al Arab","","1","",""
"2026-06-30 08:12:35","2026-06-15 00:00:00","2027-06-14 00:00:00","New","Al Warsan First","28000","28000","Free Hold","45","Unit","Flat","","Residential","Rashidiya Metro Station","City Centre Mirdif","","","1","",""
"2026-06-30 08:12:37","2026-06-09 00:00:00","2027-06-08 00:00:00","Renewed","Naif","25000","25000","Non Free Hold","21.42","Unit","Flat","","Residential","Baniyas Square Metro Station","Dubai Mall","Dubai International Airport","","1","",""
"2026-06-30 08:13:31","2026-07-05 00:00:00","2027-07-04 00:00:00","Renewed","Muhaisanah Fourth","38037","38037","Non Free Hold","102.23","Unit","Flat","","Residential","Etisalat Metro Station","City Centre Mirdif","Dubai International Airport","","1","",""
"2026-06-30 08:14:58","2026-07-09 00:00:00","2027-07-08 00:00:00","Renewed","Al Qusais Industrial Fifth","35280","35280","Non Free Hold","72.68","Unit","Flat","","Residential","Al Qusais Metro Station","City Centre Mirdif","Dubai International Airport","","1","",""
"2026-06-30 08:15:00","2026-07-08 00:00:00","2027-07-07 00:00:00","Renewed","Marsa Dubai","100000","100000","Free Hold","100","Unit","Flat","","Residential","Jumeirah Beach Resdency","Marina Mall","Burj Al Arab","","1","",""
"2026-06-30 08:17:22","2026-06-20 00:00:00","2027-06-19 00:00:00","Renewed","Jumeirah First","211633","211633","Non Free Hold","442","Villa","Villa","","Residential","Emirates Towers Metro Station","Dubai Mall","Burj Khalifa","2","1","",""
"2026-06-30 08:18:45","2026-07-04 00:00:00","2027-07-03 00:00:00","New","Marsa Dubai","90000","90000","Free Hold","70","Unit","Flat","","Residential","Marina Towers","Marina Mall","Burj Al Arab","","1","","THE RESIDENCES AT MARINA GATE 2"
"2026-06-30 08:19:37","2026-07-01 00:00:00","2027-06-30 00:00:00","Renewed","Jabal Ali First","46000","46000","Free Hold","49","Unit","Flat","","Residential","Harbour Tower","Ibn-e-Battuta Mall","Sports City Swimming Academy","","1","",""
"2026-06-30 08:21:50","2026-07-01 00:00:00","2028-06-30 00:00:00","New","Palm Jumeirah","240000","120000","Free Hold","107","Unit","Flat","","Residential","Al Sufouh","Mall of the Emirates","Burj Al Arab","","1","","ROYAL AMWAJ"
"2026-06-30 08:21:54","2026-05-27 00:00:00","2027-05-26 00:00:00","Renewed","Al Barsha South Fourth","54000","54000","Free Hold","103.62","Unit","Flat","","Residential","Dubai Internet City","Marina Mall","Sports City Swimming Academy","","1","",""
"2026-06-30 08:22:25","2026-05-01 00:00:00","2027-04-30 00:00:00","Renewed","Nadd Hessa","41270","41270","Free Hold","73.38","Unit","Flat","","Residential","","","IMG World Adventures","","1","",""
"2026-06-30 08:23:03","2026-06-30 00:00:00","2027-06-29 00:00:00","New","Al Barsha South Fourth","65000","65000","Free Hold","62","Unit","Flat","","Residential","Dubai Internet City","Mall of the Emirates","Sports City Swimming Academy","","1","","Binghatti Azure"
"2026-06-30 08:23:03","2026-06-30 00:00:00","2027-06-29 00:00:00","New","Al Barsha South Fourth","65000","65000","Free Hold","62","Unit","Flat","","Residential","Dubai Internet City","Mall of the Emirates","Sports City Swimming Academy","","1","","JOURI-3"
"2026-06-30 08:23:10","2026-07-01 00:00:00","2027-06-30 00:00:00","Renewed","Al Thanyah First","59850","59850","Free Hold","88","Unit","Flat","","Residential","Dubai Internet City","Mall of the Emirates","Burj Al Arab","","1","",""
"2026-06-30 08:23:34","2026-06-30 00:00:00","2027-06-29 00:00:00","Renewed","Al Warsan First","40021","40021","Free Hold","86.15","Unit","Flat","","Residential","Rashidiya Metro Station","City Centre Mirdif","","","1","",""
"2026-06-30 08:24:10","2026-07-01 00:00:00","2027-06-30 00:00:00","Renewed","Jumeirah First","190000","190000","Non Free Hold","141.24","Unit","Flat","","Residential","Emirates Towers Metro Station","Dubai Mall","Burj Khalifa","","1","",""
"2026-06-30 08:24:12","2026-06-07 00:00:00","2027-06-06 00:00:00","Renewed","Nad Al Shiba First","120500","120500","Free Hold","141.19","Unit","Flat","","Residential","Business Bay Metro Station","Dubai Mall","Downtown Dubai","","1","",""
"2026-06-30 08:25:45","2026-06-01 00:00:00","2027-05-31 00:00:00","New","Dubai Investment Park First","140000","140000","Free Hold","183.88","Unit","Office","","Commercial","DANUBE Metro Station","Ibn-e-Battuta Mall","Expo 2020 Site","","1","","SCHON BUSINESS PARK"
"2026-06-30 08:25:46","2026-06-01 00:00:00","2027-05-31 00:00:00","Renewed","Al Rega","96870","96870","Non Free Hold","44.96","Unit","Shop","","Commercial","Union Metro Station","Dubai Mall","Dubai International Airport","","1","",""
"2026-06-30 08:26:56","2026-07-01 00:00:00","2027-06-30 00:00:00","Renewed","Al Yelayiss 2","76074.6","76074.6","Free Hold","81","Unit","Flat","","Residential","","","Dubai Cycling Course","","1","","HAYAT BOULEVARD"
"2026-06-30 08:28:11","2026-07-01 00:00:00","2027-06-30 00:00:00","New","Al Barsha South Fourth","68000","68000","Free Hold","69","Unit","Flat","","Residential","Nakheel Metro Station","Marina Mall","Sports City Swimming Academy","","1","","CANAL VIEWS"
"2026-06-30 08:28:11","2026-07-01 00:00:00","2027-06-30 00:00:00","New","Al Barsha South Fourth","68000","68000","Free Hold","69","Unit","Flat","","Residential","Nakheel Metro Station","Marina Mall","Sports City Swimming Academy","","1","","BLOOM HEIGHTS"
"2026-06-30 08:28:36","2026-06-07 00:00:00","2027-06-06 00:00:00","Renewed","Al Barsha First","94500","94500","Non Free Hold","136.01","Unit","Flat","","Residential","Sharaf Dg Metro Station","Mall of the Emirates","Burj Al Arab","","1","",""
"2026-06-30 08:28:46","2026-05-16 00:00:00","2027-05-15 00:00:00","Renewed","Al Nahda First","54600","54600","Non Free Hold","1023.65","Unit","Flat","","Residential","STADIUM Metro Station","City Centre Mirdif","Dubai International Airport","","1","",""
"2026-06-30 08:28:56","2026-06-25 00:00:00","2027-06-24 00:00:00","Renewed","Al Jadaf","60000","60000","Free Hold","105.12","Unit","Flat","","Residential","Al Jadaf Metro Station","Dubai Mall","Dubai International Airport","","1","",""
"2026-06-30 08:32:51","2026-07-09 00:00:00","2027-07-08 00:00:00","New","Al Hebiah Fifth","100000","100000","Free Hold","139","Unit","Flat","","Residential","","","Motor City","","1","","REMRAAM"
"2026-06-30 08:32:51","2026-07-09 00:00:00","2027-07-08 00:00:00","New","Al Hebiah Fifth","100000","100000","Free Hold","139","Unit","Flat","","Residential","","","Motor City","","1","","REMRAAM"
"2026-06-30 08:32:51","2026-07-09 00:00:00","2027-07-08 00:00:00","New","Al Hebiah Fifth","100000","100000","Free Hold","139","Unit","Flat","","Residential","","","Motor City","","1","","REMRAAM - AL RAMTH 2"
"2026-06-30 08:32:51","2026-07-09 00:00:00","2027-07-08 00:00:00","New","Al Hebiah Fifth","100000","100000","Free Hold","139","Unit","Flat","","Residential","","","Motor City","","1","","Remraam - Al Ramth"
"2026-06-30 08:33:18","2026-05-28 00:00:00","2027-06-26 00:00:00","Renewed","Wadi Al Safa 5","53611.89","49611","Free Hold","73.35","Unit","Flat","","Residential","","","IMG World Adventures","","1","",""
"2026-06-30 08:33:40","2026-11-17 00:00:00","2029-11-16 00:00:00","Renewed","Burj Khalifa","4719182","1573060.67","Free Hold","22.96","Virtual Unit","Shop","","Commercial","Buj Khalifa Dubai Mall Metro Station","Dubai Mall","Burj Khalifa","","1","","THE DUBAI MALL"
"2026-06-30 08:33:40","2026-07-04 00:00:00","2027-07-03 00:00:00","New","Al Satwa","80000","80000","Free Hold","89.34","Unit","Flat","","Residential","Emirates Towers Metro Station","Dubai Mall","Burj Khalifa","","1","",""
"2026-06-30 08:33:59","2026-07-01 00:00:00","2027-06-30 00:00:00","Renewed","Cornich Deira","22000","22000","Non Free Hold","2.2","Unit","Shop","","Commercial","Salah Al Din Metro Station","","Dubai International Airport","","1","",""
"2026-06-30 08:34:15","2026-07-05 00:00:00","2027-07-04 00:00:00","New","Al Hebiah Fifth","195000","195000","Free Hold","225","Villa","Villa","5","Residential","","","","","1","","DAMAC LAGOONS - COSTA BRAVA (1)"
"2026-06-30 08:34:58","2025-01-01 00:00:00","2025-12-31 00:00:00","Renewed","Al Karama","50000","50000","Non Free Hold","60","Unit","Flat","","Residential","Burjuman Metro Station","Dubai Mall","Dubai International Airport","","1","",""
"2026-06-30 08:35:06","2026-06-25 00:00:00","2027-06-24 00:00:00","Renewed","Al Jadaf","60000","60000","Free Hold","72.59","Unit","Flat","","Residential","Al Jadaf Metro Station","Dubai Mall","Dubai International Airport","","1","",""
"2026-06-30 08:35:26","2026-07-01 00:00:00","2027-06-30 00:00:00","New","Al Thanyah First","110000","110000","Free Hold","109","Unit","Flat","","Residential","Dubai Internet City","Mall of the Emirates","Burj Al Arab","","1","","FAHAD 2"
"2026-06-30 08:36:39","2026-01-01 00:00:00","2026-12-31 00:00:00","Renewed","Al Karama","60000","60000","Non Free Hold","60","Unit","Flat","","Residential","Burjuman Metro Station","Dubai Mall","Dubai International Airport","","1","",""
"2026-06-30 08:37:33","2026-07-01 00:00:00","2027-06-30 00:00:00","Renewed","Al Hamriya","55000","55000","Non Free Hold","70.42","Unit","Flat","","Residential","Burjuman Metro Station","Dubai Mall","Dubai International Airport","","1","",""
"2026-06-30 08:37:53","2026-07-01 00:00:00","2027-06-30 00:00:00","Renewed","Madinat Al Mataar","30300","30300","Non Free Hold","20.16","Unit","Office","","Commercial","UAE Exchange Metro Station","","Al Makhtoum International Airport","","1","",""
"2026-06-30 08:37:55","2026-06-29 00:00:00","2027-06-28 00:00:00","Renewed","Hadaeq Sheikh Mohammed Bin Rashid","200000","200000","Free Hold","150","Unit","Flat","","Residential","First Abu Dhabi Bank Metro Station","Mall of the Emirates","Burj Al Arab","","1","","PARK HEIGHTS II"
"2026-06-30 08:37:59","2026-06-10 00:00:00","2027-06-09 00:00:00","Renewed","Dubai Investment Park First","53138.05","53138.05","Free Hold","53.35","Unit","Office","","Commercial","Ibn Battuta Metro Station","Ibn-e-Battuta Mall","Expo 2020 Site","","1","",""
"2026-06-30 08:38:54","2026-06-15 00:00:00","2027-06-14 00:00:00","Renewed","Al Nahda First","158760","158760","Non Free Hold","118.37","Unit","Shop","","Commercial","STADIUM Metro Station","City Centre Mirdif","Dubai International Airport","","1","",""
"2026-06-30 08:39:33","2026-07-01 00:00:00","2027-07-31 00:00:00","New","Al Rega","45000","45000","Non Free Hold","70","Unit","Office","","Commercial","Baniyas Square Metro Station","Dubai Mall","Dubai International Airport","","1","",""
"2026-06-30 08:40:03","2026-06-30 00:00:00","2027-06-29 00:00:00","Renewed","Muhaisanah Fourth","35700","35700","Non Free Hold","67","Unit","Flat","","Residential","Etisalat Metro Station","City Centre Mirdif","Dubai International Airport","","1","",""
"2026-06-30 08:41:37","2026-07-01 00:00:00","2027-06-30 00:00:00","Renewed","Al Warsan First","29000","29000","Free Hold","42.7","Unit","Flat","","Residential","Rashidiya Metro Station","City Centre Mirdif","","","1","",""
