TRANSACTION_NUMBER,INSTANCE_DATE,GROUP_EN,PROCEDURE_EN,IS_OFFPLAN_EN,IS_FREE_HOLD_EN,USAGE_EN,AREA_EN,PROP_TYPE_EN,PROP_SB_TYPE_EN,TRANS_VALUE,PROCEDURE_AREA,ACTUAL_AREA,ROOMS_EN,PARKING,NEAREST_METRO_EN,NEAREST_MALL_EN,NEAREST_LANDMARK_EN,TOTAL_BUYER,TOTAL_SELLER,MASTER_PROJECT_EN,PROJECT_EN
"102-57599-2026","2026-06-29 15:21:02","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","Palm Deira","Unit","Hotel Apartment","1630000","55.49","55.49","1 B/R","1","","","","0","0","","WASL BY AZIZI "
"102-57603-2026","2026-06-30 11:00:13","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","DUBAI SCIENCE PARK","Unit","Flat","707000","38.54","38.54","Studio","1","First Abu Dhabi Bank Metro Station","Mall of the Emirates","Motor City","0","0","","Vincitore Aqua Dimore"
"102-57605-2026","2026-06-29 15:18:23","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","AL FURJAN","Unit","Hotel Apartment","548000","32.71","32.71","Studio","1","ENERGY Metro Station","Ibn-e-Battuta Mall","Expo 2020 Site","0","0","","AZIZI JEWEL "
"102-57606-2026","2026-06-29 15:15:42","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","DUBAI STUDIO CITY","Unit","Flat","780200","45.85","45.85","Studio","1","","","Motor City","0","0","","Samana Mykonos"
"102-57607-2026","2026-06-29 15:16:15","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","MAJAN","Unit","Flat","688999","34.77","34.77","Studio","1","","","IMG World Adventures","0","0","","Binghatti Vintage"
"102-57608-2026","2026-06-29 15:16:50","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","Madinat Al Mataar","Building","Villa","4750000","290","290","4 B/R","","","","","0","0","","Hayat 1 "
"102-57609-2026","2026-06-30 11:00:24","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","DUBAI SCIENCE PARK","Unit","Flat","1236000","72.22","72.22","1 B/R","1","First Abu Dhabi Bank Metro Station","Mall of the Emirates","Motor City","0","0","","Vincitore Aqua Dimore"
"102-57610-2026","2026-06-29 15:19:23","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","DUBAI LAND RESIDENCE COMPLEX","Unit","Flat","1646793.78","118.69","118.69","2 B/R","1","","","IMG World Adventures","0","0","","Samana Park Meadows"
"102-57611-2026","2026-06-29 15:23:47","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","CITY OF ARABIA","Unit","Flat","1494000","78.72","78.72","1 B/R","1","","","","0","0","","Arancia Yards By Beyond"
"102-57612-2026","2026-06-29 15:26:26","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","DUBAI STUDIO CITY","Unit","Flat","566000","32.22","32.22","Studio","1","Dubai Internet City","","Motor City","0","0","","BEACH OASIS 2"
"102-57613-2026","2026-06-29 15:29:47","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","CITY OF ARABIA","Unit","Flat","604000","31.62","31.62","Studio","1","","","IMG World Adventures","0","0","","Azizi Milan Heights "
"102-57614-2026","2026-06-29 15:24:53","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","ARJAN","Unit","Flat","1393999","73.74","73.74","1 B/R","1","Sharaf Dg Metro Station","Mall of the Emirates","Motor City","0","0","","Binghatti Hillcrest"
"102-57615-2026","2026-06-29 15:26:02","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","DUBAI PRODUCTION CITY","Unit","Flat","800000","63.5","63.5","1 B/R","1","Damac Properties","Marina Mall","Sports City Swimming Academy","0","0","","Samana Sky Views"
"102-57618-2026","2026-06-29 16:06:07","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","DUBAI HEALTHCARE CITY - PHASE 2","Unit","Flat","1448749.35","68.4","68.4","1 B/R","1","Al Jadaf Metro Station","Dubai Mall","Downtown Dubai","0","0","","ADEBA AZIZI "
"102-57619-2026","2026-06-29 16:03:08","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","JUMEIRAH VILLAGE CIRCLE","Unit","Flat","620000","33.07","33.07","Studio","1","Dubai Internet City","Marina Mall","Sports City Swimming Academy","0","0","","Azizi Ruby "
"102-57620-2026","2026-06-29 17:37:55","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","Madinat Al Mataar","Building","Villa","3402888","257.35","257.35","4 B/R","","","","","0","0","","Greenway 2"
"102-57622-2026","2026-06-29 15:38:43","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","DUBAI STUDIO CITY","Unit","Flat","518000","32.21","32.21","Studio","1","Dubai Internet City","","Motor City","0","0","","BEACH OASIS 2"
"102-57623-2026","2026-06-29 15:36:30","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","Madinat Al Mataar","Unit","Flat","630000","35.27","35.27","Studio","1","","","","0","0","","azizi venice 13 "
"102-57624-2026","2026-06-29 15:31:11","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","MAJAN","Unit","Flat","588000","37.84","37.84","Studio","1","","","IMG World Adventures","0","0","","Binghatti Skyflame 2"
"102-57625-2026","2026-06-29 15:33:56","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","CITY OF ARABIA","Unit","Flat","640000","34.33","34.33","Studio","1","","","IMG World Adventures","0","0","","Azizi Milan 53"
"102-57626-2026","2026-06-29 16:00:46","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","Madinat Al Mataar","Unit","Flat","690000","32.78","32.78","Studio","1","","","","0","0","","Azizi Venice 6"
"102-57627-2026","2026-06-29 15:32:45","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","INTERNATIONAL CITY PH 2 & 3","Unit","Flat","906500","60.46","60.46","1 B/R","1","Rashidiya Metro Station","City Centre Mirdif","","0","0","","Greenfield by Samana Developers"
"102-57628-2026","2026-06-29 15:32:54","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","JUMEIRAH VILLAGE TRIANGLE","Unit","Flat","706666","39.05","39.05","Studio","1","Damac Properties","Marina Mall","Sports City Swimming Academy","0","0","","FH Residency"
"102-57629-2026","2026-06-29 15:52:28","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","Madinat Al Mataar","Unit","Flat","712520","32.16","32.16","Studio","1","","","","0","0","","AZIZI VENICE 9 "
"102-57630-2026","2026-06-29 15:49:45","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","Madinat Al Mataar","Unit","Flat","650000","39.05","39.05","Studio","1","","","","0","0","","azizi venice 12"
"102-57631-2026","2026-06-29 15:46:47","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","Madinat Al Mataar","Unit","Flat","599000","33.68","33.68","Studio","1","","","","0","0","","AZIZI VENICE 14"
"102-57632-2026","2026-06-29 15:43:39","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","Madinat Al Mataar","Unit","Flat","599000","32.05","32.05","Studio","1","","","","0","0","","AZIZI VENICE 10"
"102-57633-2026","2026-06-29 15:36:00","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","Jabal Ali First","Unit","Flat","1358000","78.59","78.59","1 B/R","1","","","","0","0","","Boulevard Park 2"
"102-57634-2026","2026-06-29 15:40:46","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","Madinat Al Mataar","Unit","Flat","1135000","62.56","62.56","1 B/R","1","","","","0","0","","AZIZI VENICE 5"
"102-57635-2026","2026-06-29 15:39:15","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","ARJAN","Unit","Flat","1146911.45","65.8","65.8","1 B/R","1","Sharaf Dg Metro Station","Mall of the Emirates","Motor City","0","0","","Samana Imperial Garden"
"102-57636-2026","2026-06-29 15:41:10","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","MAJAN","Unit","Flat","600000","34.68","34.68","Studio","1","","","IMG World Adventures","0","0","","Binghatti Titania"
"102-57637-2026","2026-06-29 15:41:23","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","Jabal Ali First","Unit","Flat","1466000","77.94","77.94","1 B/R","1","","","","0","0","","Boulevard Park 2"
"102-57638-2026","2026-06-29 15:43:02","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","DUBAI LAND RESIDENCE COMPLEX","Unit","Flat","676347","42.44","42.44","Studio","1","","","IMG World Adventures","0","0","","Sky Line By Peace Homes"
"102-57639-2026","2026-06-29 15:43:16","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","Al Hebiah Fifth","Unit","Flat","1176610","68.05","68.05","1 B/R","1","","","","0","0","","DAMAC LAGOONS - LAGOON VIEWS 13"
"102-57641-2026","2026-06-29 15:47:25","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","AL FURJAN","Unit","Hotel Apartment","563310","30.37","30.37","Studio","1","ENERGY Metro Station","Ibn-e-Battuta Mall","Expo 2020 Site","0","0","","Azizi Sikander"
"102-57642-2026","2026-06-29 15:45:23","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","JUMEIRAH VILLAGE CIRCLE","Unit","Flat","1073779.2","66.65","66.65","1 B/R","1","Dubai Internet City","Mall of the Emirates","Sports City Swimming Academy","0","0","","OXFORD COVE"
"102-57643-2026","2026-06-29 15:45:36","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","ARJAN","Unit","Flat","1315611.31","65.82","65.82","1 B/R","1","Sharaf Dg Metro Station","Mall of the Emirates","Motor City","0","0","","Samana Imperial Garden"
"102-57644-2026","2026-06-29 15:48:13","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","JUMEIRAH VILLAGE TRIANGLE","Unit","Flat","1000000","70.13","70.13","1 B/R","1","Damac Properties","Marina Mall","Sports City Swimming Academy","0","0","","Binghatti Luxuria"
"102-57645-2026","2026-06-29 15:48:40","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","CITY OF ARABIA","Unit","Flat","1256000","65.35","65.35","1 B/R","1","","","","0","0","","Arancia Yards By Beyond"
"102-57646-2026","2026-06-29 16:11:35","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","CITY OF ARABIA","Unit","Flat","597000","31.51","31.51","Studio","1","","","IMG World Adventures","0","0","","Azizi Milan Heights "
"102-57647-2026","2026-06-29 15:52:02","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","JUMEIRAH VILLAGE TRIANGLE","Unit","Flat","700000","31.35","31.35","Studio","1","Damac Properties","Marina Mall","Sports City Swimming Academy","0","0","","Binghatti Luxuria"
"102-57648-2026","2026-06-29 16:42:40","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","Al Yufrah 1","Building","Villa","3375888","274.01","274.01","4 B/R","","","","","0","0","","The Valley - Velora 2"
"102-57649-2026","2026-06-29 15:56:49","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","JUMEIRAH VILLAGE TRIANGLE","Unit","Flat","650162.97","30.02","30.02","Studio","1","Harbour Tower","Ibn-e-Battuta Mall","Sports City Swimming Academy","0","0","","GUZEL TOWERS"
"102-57650-2026","2026-06-29 15:56:49","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","MAJAN","Unit","Flat","570000","37.84","37.84","Studio","1","","","IMG World Adventures","0","0","","Binghatti Skyflame 1"
"102-57651-2026","2026-06-29 16:01:13","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","DUBAI SPORTS CITY","Unit","Office","891480","36.91","36.91","NA","1","Nakheel Metro Station","Marina Mall","Sports City Swimming Academy","0","0","","ASPIRZ By Danube"
"102-57652-2026","2026-06-29 16:02:32","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","BUSINESS BAY","Unit","Shop","24469263","582.89","582.89","NA","7","Business Bay Metro Station","Dubai Mall","Downtown Dubai","0","0","","Binghatti Aquarise"
"102-57653-2026","2026-06-29 16:05:06","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","DUBAI LAND RESIDENCE COMPLEX","Unit","Flat","524294","31.94","31.94","Studio","1","","","IMG World Adventures","0","0","","AUM 99 Residences"
"102-57654-2026","2026-06-29 16:05:40","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","BURJ KHALIFA","Unit","Flat","17600000","318.37","318.37","3 B/R","2  1","Buj Khalifa Dubai Mall Metro Station","Dubai Mall","Downtown Dubai","0","0","","Mercedes-Benz Places | Binghatti"
"102-57655-2026","2026-06-29 16:55:17","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","Hadaeq Sheikh Mohammed Bin Rashid","Unit","Flat","2800000","100.12","100.12","2 B/R","1","","","","0","0","","Elvira"
"102-57656-2026","2026-06-29 16:10:03","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","ARJAN","Unit","Flat","611000","31.64","31.64","Studio","1  0","Sharaf Dg Metro Station","Mall of the Emirates","Motor City","0","0","","Enchante By GRID"
"102-57657-2026","2026-06-29 16:10:57","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","SAMA AL JADAF","Unit","Flat","1402999","62.11","62.11","1 B/R","1","Al Jadaf Metro Station","Dubai Mall","Burj Khalifa","0","0","","Binghatti Cullinan"
"102-57658-2026","2026-06-29 16:11:50","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","JUMEIRAH LAKES TOWERS","Unit","Flat","1157804.64","34.67","34.67","Studio","1","Marina Mall Metro Station","Marina Mall","Sports City Swimming Academy","0","0","","Hilton Residences Dubai Jumeirah Lakes Towers"
"102-57659-2026","2026-06-29 16:23:53","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","DUBAI SPORTS CITY","Unit","Flat","493240","35.72","35.72","Studio","1","Nakheel Metro Station","Marina Mall","Sports City Swimming Academy","0","0","","Azizi Grand"
"102-57660-2026","2026-06-29 16:15:45","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","Madinat Al Mataar","Unit","Flat","652275","31.56","31.56","Studio","1","","","","0","0","","Azizi Venice 16"
"102-57661-2026","2026-06-29 16:13:57","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","ARJAN","Unit","Flat","1466999","81.78","81.78","1 B/R","1","Sharaf Dg Metro Station","Mall of the Emirates","Motor City","0","0","","Binghatti Hillcrest"
"102-57663-2026","2026-06-29 16:18:12","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","MAJAN","Unit","Flat","1000000","67.42","67.42","1 B/R","1","","","IMG World Adventures","0","0","","Binghatti Skyflame 1"
"102-57664-2026","2026-06-29 16:32:02","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","BUSINESS BAY","Unit","Shop","12482964","297.36","297.36","NA","4","Business Bay Metro Station","Dubai Mall","Downtown Dubai","0","0","","Binghatti Aquarise"
"102-57665-2026","2026-06-29 16:19:54","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","BUSINESS BAY","Unit","Flat","3554000","112.34","112.34","2 B/R","1","","","","0","0","","Bayz 102 By Danube "
"102-57666-2026","2026-06-29 16:20:47","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","DUBAI LAND RESIDENCE COMPLEX","Unit","Flat","523309","31.88","31.88","Studio","1","","","IMG World Adventures","0","0","","AUM 99 Residences"
"102-57667-2026","2026-06-29 16:21:35","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","ARJAN","Unit","Flat","1465999","81.35","81.35","1 B/R","1","Sharaf Dg Metro Station","Mall of the Emirates","Motor City","0","0","","Binghatti Hillcrest"
"102-57668-2026","2026-06-29 16:22:11","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","DUBAI LAND RESIDENCE COMPLEX","Unit","Flat","491956","29.97","29.97","Studio","1","","","IMG World Adventures","0","0","","AUM 99 Residences"
"102-57669-2026","2026-06-29 16:39:12","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","Madinat Al Mataar","Unit","Flat","1143900","67.96","67.96","1 B/R","1","","","","0","0","","AZIZI VENICE 11"
"102-57670-2026","2026-06-29 16:32:49","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","CITY OF ARABIA","Unit","Flat","605000","31.61","31.61","Studio","1","","","IMG World Adventures","0","0","","Azizi Milan Heights "
"102-57671-2026","2026-06-29 17:07:06","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","DOWN TOWN JABAL ALI","Unit","Flat","547000","30.48","30.48","Studio","1","UAE Exchange Metro Station","Ibn-e-Battuta Mall","Expo 2020 Site","0","0","","Azizi Lina"
"102-57672-2026","2026-06-29 16:28:14","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","DUBAI SOUTH","Unit","Flat","1139000","66.4","66.4","1 B/R","1","","","","0","0","","MARQUIS HORIZON"
"102-57673-2026","2026-06-29 17:11:56","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","Madinat Al Mataar","Unit","Flat","989000","63.56","63.56","1 B/R","1","","","","0","0","","AZIZI VENICE 5"
"102-57674-2026","2026-06-29 16:29:41","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","BUSINESS PARK","Unit","Flat","1390000","31.65","31.65","Studio","1","Creek Metro Station","Dubai Mall","Downtown Dubai","0","0","","Maybach Ultimate Luxury "
"102-57675-2026","2026-06-29 17:04:11","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","Madinat Al Mataar","Unit","Flat","759520","32.89","32.89","Studio","1","","","","0","0","","Azizi Venice 6"
"102-57676-2026","2026-06-29 16:31:02","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","JUMEIRAH LAKES TOWERS","Unit","Flat","1283387","39.06","39.06","Studio","1","Marina Mall Metro Station","Marina Mall","Sports City Swimming Academy","0","0","","Hilton Residences Dubai Jumeirah Lakes Towers"
"102-57677-2026","2026-06-29 16:32:16","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","Jabal Ali First","Unit","Flat","695904","33.76","33.76","Studio","1","ENERGY Metro Station","Ibn-e-Battuta Mall","Expo 2020 Site","0","0","VOXA RESIDENCES","OMYA RESIDENCES"
"102-57678-2026","2026-06-30 09:38:08","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","BUSINESS BAY","Unit","Flat","2700000","95.92","95.92","1 B/R","1","Business Bay Metro Station","Dubai Mall","Downtown Dubai","0","0","","DG1 Living "
"102-57679-2026","2026-06-29 16:34:31","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","DUBAI LAND RESIDENCE COMPLEX","Unit","Flat","507936","40.82","40.82","Studio","1","","","IMG World Adventures","0","0","","GFS Coventry Gardens II"
"102-57680-2026","2026-06-29 16:34:39","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","Al Hebiah Fifth","Building","Villa","1577600","105.6","105.6","3 B/R","","","","","0","0","","Reportage Hills"
"102-57681-2026","2026-06-29 16:36:30","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","Al Hebiah Fifth","Building","Villa","1632000","105.6","105.6","3 B/R","","","","","0","0","","Reportage Hills"
"102-57682-2026","2026-06-29 16:37:05","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","MAJAN","Unit","Flat","1000000","67.42","67.42","1 B/R","1","","","IMG World Adventures","0","0","","Binghatti Skyflame 1"
"102-57683-2026","2026-06-29 17:06:10","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","CITY OF ARABIA","Unit","Flat","628000","32.44","32.44","Studio","1","","","IMG World Adventures","0","0","","Azizi Milan 53"
"102-57684-2026","2026-06-29 16:37:51","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","TECOM SITE A","Unit","Flat","5148920","172.51","172.51","2 B/R","1","Palm Jumeirah","Marina Mall","Burj Al Arab","0","0","","DAMAC CASA"
"102-57685-2026","2026-06-29 17:04:26","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","DUBAI HEALTHCARE CITY - PHASE 2","Unit","Flat","1507539.6","67.54","67.54","1 B/R","1","Al Jadaf Metro Station","Dubai Mall","Downtown Dubai","0","0","","ADEBA AZIZI "
"102-57686-2026","2026-06-29 17:00:52","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","Madinat Al Mataar","Unit","Flat","859547.7","33.5","33.5","Studio","1","","","","0","0","","Azizi Venice 6"
"102-57687-2026","2026-06-29 16:38:13","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","Al Hebiah Fifth","Building","Villa","2416050","158.33","158.33","5 B/R","","","","","0","0","","Reportage Hills"
"102-57688-2026","2026-06-29 16:59:05","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","DUBAI STUDIO CITY","Unit","Flat","564000","32.2","32.2","Studio","1","Dubai Internet City","","Motor City","0","0","","BEACH OASIS 2"
"102-57689-2026","2026-06-29 16:57:10","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","Madinat Al Mataar","Unit","Flat","1150000","68.14","68.14","1 B/R","1","","","","0","0","","azizi venice 12"
"102-57690-2026","2026-06-29 16:56:27","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","Wadi Al Safa 4","Unit","Flat","612810","33.95","33.95","Studio","1","","","IMG World Adventures","0","0","","Azizi Milan 9"
"102-57691-2026","2026-06-29 16:54:10","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","CITY OF ARABIA","Unit","Flat","600000","31.61","31.61","Studio","1","","","IMG World Adventures","0","0","","Azizi Milan Heights "
"102-57692-2026","2026-06-29 16:52:22","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","CITY OF ARABIA","Unit","Flat","628000","32.49","32.49","Studio","1","","","IMG World Adventures","0","0","","Azizi Milan 53"
"102-57693-2026","2026-06-29 16:50:44","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","AL FURJAN","Unit","Hotel Apartment","965000","65.96","65.96","1 B/R","1","","","","0","0","","AZIZI NEILA"
"102-57694-2026","2026-06-29 16:49:07","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","Madinat Al Mataar","Unit","Flat","704620","35.36","35.36","Studio","1","","","","0","0","","Azizi Venice 15"
"102-57695-2026","2026-06-29 17:18:35","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","CITY OF ARABIA","Unit","Flat","596000","31.54","31.54","Studio","1","","","IMG World Adventures","0","0","","Azizi Milan Heights "
